Year,Month,Maximum Demand (MW)
2022.0,January,595
2022.0,February,699
2022.0,March,1110
2022.0,April,1090
2022.0,May,1110
2022.0,June,1143
2022.0,July,1081
2022.0,August,1131
2022.0,September,1108
2022.0,October,1082
2022.0,November,958
2022.0,December,779
2023.0,January,735
2023.0,February,852
2023.0,March,970
2023.0,April,1291
2023.0,May,1280
2023.0,June,1283
2023.0,July,1308
2023.0,August,1293
2023.0,September,1284
2023.0,October,1284
2023.0,November,1028
2023.0,December,846
2024.0,January,748
2024.0,February,860
2024.0,March,1210
2024.0,April,1519
2024.0,May,1405
2024.0,June,1399
2024.0,July,1276
2024.0,August,1248
2024.0,September,1406
2024.0,October,1265
2024.0,November,1165
2024.0,December,893
2025.0,January,748
2025.0,February,860
2025.0,March,1210
2025.0,April,1519
2025.0,May,1405
2025.0,June,1399
2025.0,July,1276
2025.0,August,1248
2025.0,September,1406
2025.0,October,1265
2025.0,November,1165
2025.0,December,893
